,UserName,DeltaPercentage,TotalViewerCount,LeaversFollowers
333,clid,-0.645553335332882,957268,1
334,西門夜說,-0.29809451819287647,28278737,0
335,박옥자누나,0.3644058427973075,5336005,2
336,루시아,0.2650031600388869,5064775,1
337,인간젤리,0.023703839466760468,8507920,2
338,PinkWardlol,0.12373005072453114,3211728,1
339,피닉스박1,0.0528384968588711,5863276,0
340,FabulousN,-0.005829947121235413,1613365,0
341,하로맨,0.12343114730450139,966965,0
342,rainbrain,0.05101314600302087,10747827,0
343,OgamingLoL,-0.499396658568424,164950493,2
344,Faker,2.274273705355135,66177341,6
345,한동숙,2.330574127314595,50998396,2
346,jovirone,3.1782060825055165,56151830,2
347,Solary,-1.21736319999967,87110241,1
348,SoloRenektonOnly,1.3439079311423696,11653376,4
349,테디이,0.9614259248079411,2350766,2
350,pankylol,0.41453486630171543,4455633,0
351,スタンミ,0.5961785465386469,5913220,0
352,Shiphtur,0.25545845133170153,46028506,4
353,lol_Khan,0.5715520027456171,1530934,1
354,Rakyz,0.881657884000179,1181966,1
355,clid,-0.6901035203686134,957268,1
356,박옥자누나,0.42071492512871533,5336005,2
357,西門夜說,-0.2462226681286892,28278737,0
358,루시아,0.2433257751221557,5064775,1
359,kev1nTV,0.29976560497925187,14245375,2
360,인간젤리,0.05138934554238894,8507920,2
361,FabulousN,0.06057146901921273,1613365,0
362,피닉스박1,0.06006812729719391,5863276,0
363,PinkWardlol,0.034699985852683246,3211728,1
364,하로맨,0.12223439337705277,966965,0
365,rainbrain,0.0987833357343531,10747827,0
366,Faker,4.623723694865884,66177341,5
367,한동숙,1.242356346141218,50998396,2
368,jovirone,3.3573078401603462,56151830,2
369,Shiphtur,1.6939199786778396,46028506,4
370,Solary,-1.2671708780235074,87110241,0
371,pankylol,0.31263459692813944,4455633,0
372,테디이,0.8152413074082987,2350766,2
373,スタンミ,0.4602556608720092,5913220,0
374,clid,-0.4875105948931997,957268,1
375,lol_Khan,0.08889619124633996,1530934,1
376,Rakyz,0.7604536208591259,1181966,1
377,TFBlade,-3.61379263016546,37547888,5
378,kev1nTV,0.48902179822996017,14245375,2
379,西門夜說,-0.2538221172875853,28278737,0
380,박옥자누나,0.34209959189250005,5336005,2
381,인간젤리,0.09582576242412633,8507920,2
382,루시아,0.18492697889136567,5064775,1
383,FabulousN,0.09045428039941972,1613365,0
384,PinkWardlol,0.1622441677601354,3211728,2
385,피닉스박1,-0.009185742421950915,5863276,0
386,rainbrain,0.08978581247827244,10747827,0
387,하로맨,0.07885951134839336,966965,0
388,OgamingLoL,-0.5122998633779647,164950493,2
389,Faker,1.595629511138391,66177341,4
390,한동숙,-0.4207645069861172,50998396,2
391,jovirone,3.6934924979687365,56151830,2
392,Shiphtur,1.8619333825652473,46028506,4
393,TFBlade,-1.3186115844598056,37547888,4
394,테디이,0.7917333898211334,2350766,2
395,スタンミ,0.4752184132897015,5913220,0
396,Solary,-1.886291014372365,87110241,0
397,OgamingLoL,0.895164052129393,164950493,2
398,西門夜說,-0.12952403229528286,28278737,0
399,clid,-0.6330690698040657,957268,1
400,Rakyz,0.6852061955351656,1181966,1
401,kev1nTV,0.5014443693702101,14245375,2
402,lol_Khan,-0.13309603935208947,1530934,2
403,박옥자누나,0.2134739399852681,5336005,2
404,Opat04,-0.08187653557636188,4383579,0
405,인간젤리,0.022611421329552517,8507920,2
